steps,episode,reward
10000,-1,296.0
20000,-1,438.0
30000,-1,536.0
40000,-1,536.0
50000,-1,570.0
60000,-1,570.0
70000,-1,601.0
80000,-1,663.0
90000,-1,878.0
100000,-1,881.0
110000,-1,851.0
120000,-1,823.0
130000,-1,707.0
140000,-1,745.0
150000,-1,756.0
160000,-1,761.0
170000,-1,777.0
180000,-1,563.0
190000,-1,550.0
200000,-1,749.0
210000,-1,689.0
220000,-1,605.0
230000,-1,713.0
240000,-1,768.0
250000,-1,765.0
260000,-1,746.0
270000,-1,889.0
280000,-1,694.0
290000,-1,733.0
300000,-1,794.0
310000,-1,666.0
320000,-1,838.0
330000,-1,530.0
340000,-1,686.0
350000,-1,761.0
360000,-1,742.0
370000,-1,703.0
380000,-1,788.0
390000,-1,705.0
400000,-1,765.0
410000,-1,817.0
420000,-1,729.0
430000,-1,855.0
440000,-1,873.0
450000,-1,906.0
460000,-1,1141.0
470000,-1,734.0
480000,-1,952.0
490000,-1,891.0
500000,-1,884.0
510000,-1,735.0
520000,-1,964.0
530000,-1,1071.0
540000,-1,668.0
550000,-1,848.0
560000,-1,840.0
570000,-1,713.0
580000,-1,792.0
590000,-1,907.0
600000,-1,766.0
610000,-1,662.0
620000,-1,738.0
630000,-1,835.0
640000,-1,941.0
650000,-1,1003.0
660000,-1,953.0
670000,-1,733.0
680000,-1,914.0
690000,-1,703.0
700000,-1,979.0
710000,-1,815.0
720000,-1,840.0
730000,-1,866.0
740000,-1,980.0
750000,-1,982.0
760000,-1,883.0
770000,-1,718.0
780000,-1,924.0
790000,-1,901.0
