steps,episode,reward
10000,-1,720.5
20000,-1,272.0
30000,-1,148.0
40000,-1,169.5
50000,-1,239.5
60000,-1,159.0
70000,-1,195.0
80000,-1,283.5
90000,-1,124.5
100000,-1,152.0
110000,-1,440.0
120000,-1,235.0
130000,-1,195.0
140000,-1,265.5
150000,-1,129.5
160000,-1,291.0
170000,-1,388.0
180000,-1,400.5
190000,-1,163.5
200000,-1,448.0
210000,-1,215.0
220000,-1,260.0
230000,-1,303.5
240000,-1,301.5
250000,-1,210.0
260000,-1,274.0
270000,-1,291.0
280000,-1,309.0
290000,-1,227.0
300000,-1,240.5
310000,-1,244.5
320000,-1,233.5
330000,-1,234.0
340000,-1,455.5
350000,-1,291.5
360000,-1,413.5
