steps,episode,reward
10000,-1,337.0
20000,-1,374.0
30000,-1,435.0
40000,-1,299.0
50000,-1,271.0
60000,-1,284.0
70000,-1,395.0
80000,-1,260.0
90000,-1,395.0
100000,-1,230.0
110000,-1,305.0
120000,-1,348.0
130000,-1,320.0
140000,-1,391.0
150000,-1,315.0
160000,-1,462.0
170000,-1,393.0
180000,-1,299.0
190000,-1,260.0
200000,-1,365.0
210000,-1,379.0
220000,-1,326.0
230000,-1,375.0
240000,-1,265.0
250000,-1,467.0
260000,-1,443.0
270000,-1,270.0
280000,-1,350.0
290000,-1,413.0
300000,-1,390.0
310000,-1,418.0
320000,-1,350.0
330000,-1,410.0
340000,-1,441.0
350000,-1,400.0
360000,-1,515.0
370000,-1,335.0
380000,-1,482.0
390000,-1,330.0
400000,-1,355.0
410000,-1,337.0
420000,-1,451.0
430000,-1,345.0
440000,-1,396.0
450000,-1,396.0
460000,-1,444.0
470000,-1,406.0
480000,-1,275.0
490000,-1,382.0
500000,-1,401.0
510000,-1,409.0
520000,-1,535.0
530000,-1,348.0
540000,-1,506.0
550000,-1,499.0
560000,-1,425.0
570000,-1,375.0
580000,-1,468.0
590000,-1,513.0
600000,-1,551.0
610000,-1,544.0
620000,-1,451.0
630000,-1,444.0
640000,-1,675.0
650000,-1,553.0
660000,-1,444.0
670000,-1,539.0
680000,-1,423.0
690000,-1,538.0
700000,-1,385.0
710000,-1,523.0
720000,-1,524.0
730000,-1,493.0
740000,-1,480.0
750000,-1,515.0
760000,-1,533.0
770000,-1,581.0
780000,-1,569.0
790000,-1,459.0
800000,-1,536.0
810000,-1,540.0
820000,-1,514.0
830000,-1,549.0
840000,-1,522.0
850000,-1,569.0
860000,-1,450.0
870000,-1,476.0
880000,-1,548.0
890000,-1,421.0
900000,-1,533.0
910000,-1,543.0
920000,-1,449.0
930000,-1,608.0
940000,-1,561.0
950000,-1,454.0
960000,-1,408.0
970000,-1,433.0
980000,-1,484.0
990000,-1,645.0
